State,County,Deaths,Food Environment Index,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),% Adults with Diabetes,95% CI - Low,95% CI - High,% Adults with Obesity,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,Segregation Index,Population,Population Size,,,,,Population,
Alabama,Bullock,251,4.4,2.63,40,26,54,2.57,,,47,65,7,20,18,22,49,41,58,3529,32,1750,17,34,9897,Small,,,,,,
Alabama,Perry,249,3.9,3,50,32,68,3,,,66,,34,19,17,22,50,42,59,2949,28,1820,21,61,7738,Small,,,,,Mean,209649.3865
Alabama,Wilcox,301,4.7,2.37,49,31,66,3,,,63,,2,19,17,21,49,40,57,2764,24,2070,20,35,9944,Small,,,,,Standard Error,22628.43403
Alabama,Greene,237,4.5,2.54,47,30,64,3,,,63,,3,19,17,22,51,42,59,2058,23,1630,21,27,7341,Small,,,,,Median,26668
Alabama,Macon,476,5.6,1.6,41,26,56,2.67,,,37,57,5,18,16,20,48,39,56,4741,22,3170,17,54,18370,Small,,,,,Mode,8810
Alabama,Lowndes,315,5.4,1.77,42,28,56,2.85,,,,,,18,16,21,50,41,58,2283,20,1820,18,33,9717,Small,,,,,Standard Deviation,1279057.096
Alabama,Clarke,610,5.4,1.77,29,18,40,1.2,,,38,,17,15,13,17,44,36,53,4740,18,4370,19,18,22337,Small,,,,,Sample Variance,1.63599E+12
Alabama,Calhoun,2916,5.9,1.35,29,23,34,1.17,,40,35,41,15,13,11,15,38,32,45,18258,15,21180,18,46,116429,Large,,,,,Kurtosis,423.2331457
Alabama,Crenshaw,383,6.5,0.83,27,17,37,1,,,25,36,11,13,11,15,40,32,49,1878,14,2160,16,26,13101,Small,,,,,Skewness,17.91038642
Alabama,Etowah,2810,6.3,1.01,26,19,32,0.8,,76,43,47,16,13,11,14,41,34,49,13991,13,18100,18,65,103241,Large,,,,,Range,38965150
Alabama,Conecuh,350,6.4,0.92,43,31,55,2.97,,,77,,22,16,14,18,45,36,53,1758,13,1980,17,16,11174,Small,,,,,Minimum,43
Alabama,Marengo,497,6.2,1.09,33,21,45,1.74,,,50,,2,15,14,18,46,38,54,2785,13,3400,18,28,18684,Small,,,,,Maximum,38965193
Alabama,Randolph,532,6.1,1.18,25,15,35,0.74,,,26,,22,13,11,15,41,33,49,3021,13,4070,18,48,22786,Small,,,,,Sum,669829790
Alabama,Choctaw,301,6.2,1.09,36,25,47,2.07,,,47,,15,15,13,17,46,37,54,1808,13,2280,18,31,12252,Small,,,,,Count,3195
Alabama,Autauga,1008,6.8,0.58,17,12,22,-0.25,,,26,22,8,11,10,13,38,32,46,7106,13,8860,15,34,60342,Small,,,,,,
Alabama,Jefferson,13659,6.9,0.49,22,18,25,0.31,28,14,35,33,7,13,11,15,40,36,44,82879,13,102050,15,63,662895,Large,,,,,,
Alabama,Monroe,527,6.2,1.09,28,16,39,1.1,,,36,,14,15,13,17,43,35,51,2614,11,3690,19,38,19229,Small,,,,,,
Alabama,Lee,2205,6.9,0.49,15,10,20,-0.51,11,3,38,19,8,12,10,13,35,29,41,15524,11,27170,16,34,183215,Large,,,,,,
Alabama,Sumter,304,6.3,1.01,45,32,59,3,,,53,,19,18,16,20,45,37,54,1479,11,2280,19,26,11727,Small,,,,,,
Alabama,Montgomery,4504,6.9,0.49,26,20,32,0.86,,9,38,36,5,16,14,18,45,39,51,24643,11,36550,16,55,224980,Large,,,,,,
Alabama,Pike,676,6.7,0.66,33,23,42,1.67,,,54,32,12,14,12,16,41,34,48,3452,10,5600,17,23,33137,Small,,,,,,
Alabama,Barbour,587,6.2,1.09,35,22,48,1.95,,,49,60,4,16,14,18,44,36,52,2865,10,4730,19,23,24585,Small,,,,,,
Alabama,Marshall,2179,6.6,0.75,22,16,27,0.31,28,4,37,36,16,11,10,13,39,31,47,9331,10,17210,18,52,100756,Large,,,,,,
Alabama,Mobile,8783,6.9,0.49,25,20,30,0.71,35,32,39,20,11,14,12,15,42,38,47,40126,10,67610,16,56,411640,Large,,,,,,
Alabama,Madison,5779,7.5,-0.02,14,10,17,-0.68,11,3,27,26,5,11,10,13,36,31,41,31281,9,54270,14,47,412600,Large,,,,,,
Alabama,Coffee,1025,6.7,0.66,21,16,26,0.24,2,,66,43,9,12,10,13,34,28,41,4491,9,9560,18,43,55643,Small,,,,,,
Alabama,Colbert,1285,6.7,0.66,21,14,27,0.18,,,60,38,17,12,10,14,41,33,49,4806,9,10070,18,28,58361,Small,,,,,,
Alabama,Dale,1034,6.4,0.92,22,14,30,0.37,,,55,26,21,14,12,15,44,37,52,4420,9,9390,19,31,49871,Small,,,,,,
Alabama,Dallas,1133,6.4,0.92,47,33,60,3.39,,,50,,24,18,15,20,51,43,58,3842,9,7310,19,50,36165,Small,,,,,,
Alabama,Morgan,2635,7,0.41,17,11,23,-0.27,,,39,24,10,13,11,15,39,32,46,9883,8,20170,16,59,125133,Large,,,,,,
Alabama,Chambers,824,6.9,0.49,26,15,37,0.86,,,22,51,15,15,13,17,45,37,53,2772,8,5840,17,31,34079,Small,,,,,,
Alabama,Henry,379,7,0.41,23,14,31,0.45,,,60,,8,14,12,16,38,31,47,1392,8,2860,17,35,17899,Small,,,,,,
Alabama,Baldwin,3944,7.4,0.07,14,11,18,-0.61,,13,54,34,7,10,9,12,37,31,43,14466,8,34770,15,43,253507,Large,,,,,,
Alabama,Talladega,2137,6.7,0.66,23,15,31,0.47,,,36,40,18,14,12,16,43,35,50,6453,8,14660,18,33,81132,Small,,,,,,
Alabama,Coosa,272,7.2,0.24,28,18,38,1.11,,,64,,7,13,12,15,43,35,51,890,8,1630,16,56,10268,Small,,,,,,
Alabama,Hale,411,6.6,0.75,32,21,44,1.63,,,47,,6,16,14,18,44,36,53,1099,7,2820,19,26,14888,Small,,,,,,
Alabama,Butler,497,7,0.41,37,27,48,2.27,,,47,32,14,15,13,17,46,38,54,1449,7,3250,17,28,18382,Small,,,,,,
Alabama,Tuscaloosa,3625,7.5,-0.02,24,19,29,0.59,,10,34,28,9,13,11,14,41,36,47,13105,7,35110,15,56,237373,Large,,,,,,
Alabama,Russell,1355,6.7,0.66,27,18,36,0.95,,,44,47,15,16,14,18,47,39,55,3529,7,11030,19,41,58744,Small,,,,,,
Alabama,Lauderdale,1815,7.2,0.24,17,10,23,-0.27,56,,43,10,14,11,9,13,37,30,44,5999,6,15470,16,49,96814,Small,,,,,,
Alabama,Limestone,1726,7.6,-0.1,11,7,15,-0.95,49,,17,31,10,11,10,13,36,29,43,5320,6,15400,15,38,114654,Large,,,,,,
Alabama,Shelby,2678,8.2,-0.61,9,7,12,-1.19,,4,8,21,6,10,8,11,32,27,38,11354,6,27890,13,30,233000,Large,,,,,,
Alabama,Franklin,747,6.9,0.49,34,29,40,1.9,,,17,34,25,14,12,15,40,32,48,1818,6,5850,18,66,31802,Small,,,,,,
Alabama,Escambia,982,6.7,0.66,29,19,39,1.23,28,,51,12,13,15,13,17,44,36,51,2175,6,7090,19,37,36558,Small,,,,,,
Alabama,Covington,1071,6.7,0.66,22,14,31,0.42,,,46,16,23,12,10,13,45,37,52,2070,5,7210,19,41,37952,Small,,,,,,
Alabama,Jackson,1484,6.5,0.83,19,13,25,0.02,6,,36,74,20,12,11,14,39,31,47,2859,5,10530,20,60,53467,Small,,,,,,
Alabama,Lawrence,874,7,0.41,19,12,26,0.02,23,,16,,19,13,11,15,41,33,49,1839,5,5970,18,68,33502,Small,,,,,,
Alabama,Cherokee,702,7,0.41,21,12,29,0.18,,,,55,13,11,10,13,40,32,49,1302,5,4490,18,40,25666,Small,,,,,,
Alabama,Elmore,1559,7.9,-0.36,17,11,23,-0.25,,,24,16,12,11,10,13,36,30,44,3953,5,12330,14,32,90441,Small,,,,,,
Alabama,Washington,349,7.5,-0.02,26,17,35,0.89,,,56,,21,14,12,16,42,34,50,788,4,2500,16,33,15022,Small,,,,,,
Alabama,Chilton,1036,7.2,0.24,22,14,29,0.31,,,20,26,14,12,10,13,36,29,44,1907,4,7900,18,43,46431,Small,,,,,,
Alabama,Houston,2212,7.2,0.24,25,20,29,0.69,,4,47,45,12,13,11,15,38,31,44,4308,4,18650,17,47,108462,Large,,,,,,
Alabama,Geneva,757,6.6,0.75,27,18,36,0.99,,,57,42,15,13,11,14,38,31,46,1035,4,5480,21,26,26988,Small,,,,,,
Alabama,Walker,2046,6.8,0.58,23,17,30,0.53,,21,59,75,20,13,11,15,43,36,50,2492,4,12700,20,48,64728,Small,,,,,,
Alabama,Tallapoosa,994,7.3,0.15,23,14,32,0.44,,,43,60,8,13,11,15,42,34,50,1359,3,7260,18,40,40677,Small,,,,,,
Alabama,Clay,344,7.2,0.24,25,16,34,0.74,,,65,8,12,13,11,15,40,31,48,414,3,2560,18,28,14111,Small,,,,,,
Alabama,Cullman,1979,7.4,0.07,21,17,26,0.28,,,4,33,17,12,10,13,40,32,48,2287,3,15340,17,79,92016,Small,,,,,,
Alabama,Blount,1273,7.4,0.07,17,11,22,-0.3,25,,18,47,12,12,10,13,37,30,45,1440,3,10300,17,65,59816,Small,,,,,,
Alabama,St. Clair,2010,7.9,-0.36,14,9,20,-0.58,,,25,18,14,11,9,12,33,27,40,1984,2,13970,15,30,95552,Small,,,,,,
Alabama,Cleburne,362,7.4,0.07,22,15,29,0.33,,,,19,21,12,11,14,39,31,48,303,2,2690,18,53,15639,Small,,,,,,
Alabama,Winston,580,6.9,0.49,24,16,32,0.62,,,62,20,26,12,10,14,36,28,45,415,2,4730,20,86,23611,Small,,,,,,
Alabama,Pickens,498,7.1,0.32,30,19,42,1.39,,,52,,23,15,13,17,44,36,52,296,1,3640,19,30,18688,Small,,,,,,
Alabama,Marion,719,7,0.41,24,17,32,0.65,95,,,81,19,12,11,14,40,31,48,317,1,5850,20,50,29244,Small,,,,,,
Alabama,Bibb,509,7.3,0.15,21,14,29,0.29,,,69,40,24,13,12,15,41,34,49,102,0,4260,19,40,21868,Small,,,,,,
Alabama,Fayette,457,6.9,0.49,22,13,31,0.37,,,47,,19,13,11,15,39,31,48,74,0,3350,21,48,15967,Small,,,,,,
