State,County,Deaths,Food Environment Index,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),% Adults with Diabetes,95% CI - Low,95% CI - High,% Adults with Obesity,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,Segregation Index,Population
Alabama,,102760,5.3,,21,20,22,,,,,,,14,12,15,38,36,41,418731,9,884270,17,58,5108468
Alaska,,10540,7.1,,13,11,14,,,,,,,8,7,9,32,31,34,55887,8,93620,13,57,733406
Arizona,,111570,6.8,,16,15,17,,,,,,,11,10,12,34,32,35,554825,9,963130,13,51,7431344
Arkansas,,59089,4.4,,20,19,22,,,,,,,14,13,15,38,36,40,292058,10,567110,19,65,3067732
California,,442212,8.7,,15,15,15,,,,,,,11,10,11,28,27,30,1204935,3,4915450,13,59,38965193
Colorado,,68290,8.5,,11,10,12,,,,,,,8,7,8,25,24,26,253692,5,671340,12,66,5877610
Connecticut,,42577,8.2,,13,12,14,,,,,,,9,8,10,31,29,32,152556,4,468150,13,62,3617176
Delaware,,15784,8.0,,15,14,17,,,,,,,12,10,13,38,36,41,56525,6,120130,12,45,1031890
District of Columbia,,9950,8.9,,21,17,25,,,,,,,9,8,10,25,20,31,9664,2,74070,11,67,678972
Florida,,327435,7.1,,16,15,17,,,,,,,10,9,11,32,30,34,1427412,8,2935330,13,58,22610726
Georgia,,169399,6.3,,19,18,20,,,,,,,11,10,12,37,36,39,971060,10,1426880,13,56,11029227
Hawaii,,16175,7.8,,12,10,13,,,,,,,10,9,11,27,25,29,72883,5,188280,13,62,1435138
Idaho,,22937,7.6,,11,10,12,,,,,,,9,8,10,34,32,35,124160,8,220990,11,77,1964726
Illinois,,174574,8.4,,15,14,15,,,,,,,11,10,12,33,31,35,619801,5,1506320,12,71,12549689
Indiana,,112598,6.5,,15,14,16,,,,,,,11,11,12,38,37,40,561172,9,950220,14,68,6862199
Iowa,,42850,8.5,,13,12,14,,,,,,,10,9,11,38,36,39,172835,6,344550,11,63,3207004
Kansas,,42964,6.8,,13,12,14,,,,,,,10,9,11,37,35,38,240797,8,383910,13,59,2940546
Kentucky,,91160,6.6,,20,19,21,,,,,,,13,12,14,38,36,40,277473,6,710000,16,63,4526154
Louisiana,,90024,4.8,,25,24,26,,,,,,,13,12,14,40,39,42,483383,11,777140,17,56,4573749
Maine,,21760,8.4,,13,11,14,,,,,,,9,8,10,33,32,35,47048,4,179680,13,75,1395722
Maryland,,83019,8.7,,11,10,12,,,,,,,11,10,11,34,32,35,205286,4,749260,12,63,6180253
